numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,345.5902681778861,779.8791187352273,0,171446
4000,0.4,StandardBloomFilter,562.5166997144406,806.3215610383287,0,171446
6000,0.6,StandardBloomFilter,396.23052692074407,554.6234799841362,0,171446
8000,0.8,StandardBloomFilter,463.09964167637486,589.2708509809949,0,171446
10000,1,StandardBloomFilter,581.5035355417673,531.2804656151017,0,171446
10000,0.2,StandardBloomFilter,395.795073143632,415.10741942177157,0,857206
20000,0.4,StandardBloomFilter,264.81788474077075,283.23256154825657,0,857206
30000,0.6,StandardBloomFilter,239.5418044364204,289.9932044919441,0,857206
40000,0.8,StandardBloomFilter,274.8610062241872,284.98492785810276,0,857206
50000,1,StandardBloomFilter,234.80627308530546,264.8735083340582,0,857206
20000,0.2,StandardBloomFilter,250.4962957868179,403.42141704489666,0,1714406
40000,0.4,StandardBloomFilter,237.22316057231214,327.8875313033137,0,1714406
60000,0.6,StandardBloomFilter,223.19053850916168,259.61320660932824,0,1714406
80000,0.8,StandardBloomFilter,225.88596711698906,254.58005428417266,0,1714406
100000,1,StandardBloomFilter,232.1515503872822,228.05284942579848,0,1714406
