numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,711.7184441833284,1119.726786665609,0,34495
4000,0.4,CuckooFilter,950.5703422052015,689.3699158973794,0,66128
6000,0.6,CuckooFilter,990.1970492099538,628.611240617147,0,95622
8000,0.8,CuckooFilter,889.946936913463,521.9053459424794,0,122280
10000,1,CuckooFilter,686.5774116033487,506.30732348181095,0,147703
10000,0.2,CuckooFilter,857.5373243143995,578.9801265077103,0.0001,180423
20000,0.4,CuckooFilter,859.0069021179846,385.8277741981629,0,345164
30000,0.6,CuckooFilter,729.9589763001621,279.9433208085301,0,495726
40000,0.8,CuckooFilter,775.5740702243806,288.8092898393584,0,635675
50000,1,CuckooFilter,787.2899903861551,309.57432910589523,0.00002,768067
20000,0.2,CuckooFilter,619.8379124052398,486.2500638263574,0,362188
40000,0.4,CuckooFilter,1002.5339044240983,352.03706246617213,0,692049
60000,0.6,CuckooFilter,737.4776298352272,244.45972770842133,0,996159
80000,0.8,CuckooFilter,711.9610343726215,240.9566702713517,0.000025,1278916
100000,1,CuckooFilter,747.121713576219,183.5273553931407,0.00001,1541959
