numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,284.6894038603959,667.5010429705499,0,171446
4000,0.4,StandardBloomFilter,202.44451754946127,401.18349129970295,0,171446
6000,0.6,StandardBloomFilter,240.91451148554705,388.9499324197656,0,171446
8000,0.8,StandardBloomFilter,509.1876547453864,508.0832875524754,0,171446
10000,1,StandardBloomFilter,523.8427005130787,495.6985756092273,0,171446
10000,0.2,StandardBloomFilter,309.1199663678591,416.9837480589348,0,857206
20000,0.4,StandardBloomFilter,305.3411806016701,336.8574234114966,0,857206
30000,0.6,StandardBloomFilter,292.2842795871321,276.85671649709747,0,857206
40000,0.8,StandardBloomFilter,269.43955898080526,272.3776079734238,0,857206
50000,1,StandardBloomFilter,273.09242212235586,276.86358958750236,0,857206
20000,0.2,StandardBloomFilter,239.2021174188801,327.16330601750474,0,1714406
40000,0.4,StandardBloomFilter,254.211166861649,283.31882504957827,0,1714406
60000,0.6,StandardBloomFilter,261.4251504946308,282.3972609368618,0,1714406
80000,0.8,StandardBloomFilter,231.41539149292615,188.82710046546302,0,1714406
100000,1,StandardBloomFilter,170.85453922837348,258.8441212282709,0,1714406
