numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,251.5438503816228,434.8818752104468,0,171446
4000,0.4,StandardBloomFilter,585.4458169897149,826.2414277456406,0,171446
6000,0.6,StandardBloomFilter,608.7415283464946,663.6690945894273,0,171446
8000,0.8,StandardBloomFilter,297.4298344430867,594.7358443578386,0,171446
10000,1,StandardBloomFilter,575.3541304670932,630.8650737327562,0,171446
10000,0.2,StandardBloomFilter,313.98357237940587,456.77117591248214,0,857206
20000,0.4,StandardBloomFilter,328.2627677803959,334.18466877694857,0,857206
30000,0.6,StandardBloomFilter,268.3571977424901,311.6261483424105,0,857206
40000,0.8,StandardBloomFilter,300.1220746535793,290.51177643832654,0,857206
50000,1,StandardBloomFilter,237.49121876200894,224.81847594185675,0,857206
20000,0.2,StandardBloomFilter,235.18980405072722,317.70969435591184,0,1714406
40000,0.4,StandardBloomFilter,191.7088785657051,294.9544719319848,0,1714406
60000,0.6,StandardBloomFilter,222.05929649075443,266.20370883954166,0,1714406
80000,0.8,StandardBloomFilter,225.0561796482217,230.10478108857703,0,1714406
100000,1,StandardBloomFilter,214.2973628798651,244.78264157382156,0,1714406
