numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,623.9276243953874,746.1990485953265,0,34661
4000,0.4,CuckooFilter,708.2654578956417,461.3902842737449,0,66100
6000,0.6,CuckooFilter,451.4400938993777,649.0556240671517,0,95460
8000,0.8,CuckooFilter,1099.0218705360558,477.81590350483566,0,122731
10000,1,CuckooFilter,914.3943965877835,545.7725820221176,0,147532
10000,0.2,CuckooFilter,521.5667866276275,549.8448063020796,0,180082
20000,0.4,CuckooFilter,686.8202625692581,331.63316066243533,0,344367
30000,0.6,CuckooFilter,743.4428342074187,340.62207810103786,0,496157
40000,0.8,CuckooFilter,697.4108621684773,305.01893404989113,0.000025,636338
50000,1,CuckooFilter,618.6097611583037,267.0174207505008,0.00002,767130
20000,0.2,CuckooFilter,599.5329638304007,362.97805343421135,0,363014
40000,0.4,CuckooFilter,363.9530027454958,314.2482514033159,0,692798
60000,0.6,CuckooFilter,581.7465388398628,274.5051929500116,0.000016666666666666667,996022
80000,0.8,CuckooFilter,675.6762463688362,241.5729904530989,0.0000125,1278105
100000,1,CuckooFilter,621.3260215749993,211.87289067144832,0.00002,1541474
