numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,273.8900605298111,661.9447938038294,0,171446
4000,0.4,StandardBloomFilter,415.17463283012506,511.8067417743396,0,171446
6000,0.6,StandardBloomFilter,412.85634663440385,546.5252380798158,0,171446
8000,0.8,StandardBloomFilter,624.214854752607,579.3470035083769,0,171446
10000,1,StandardBloomFilter,361.2299156169476,602.6601418661791,0,171446
10000,0.2,StandardBloomFilter,317.90942760480146,433.87524351283184,0,857206
20000,0.4,StandardBloomFilter,369.37647404292255,402.6980771168996,0,857206
30000,0.6,StandardBloomFilter,199.43983996960267,260.2683453401592,0,857206
40000,0.8,StandardBloomFilter,277.2000851001878,318.24456299088394,0,857206
50000,1,StandardBloomFilter,393.4832871903582,346.36089003580213,0,857206
20000,0.2,StandardBloomFilter,324.1879901346504,327.5450661062116,0,1714406
40000,0.4,StandardBloomFilter,208.859288885783,367.39903070666196,0,1714406
60000,0.6,StandardBloomFilter,258.78120092521567,312.97271920908895,0,1714406
80000,0.8,StandardBloomFilter,287.7542578623239,315.8834074353848,0,1714406
100000,1,StandardBloomFilter,266.7077040915762,256.7788987342751,0,1714406
