numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,596.5875193892177,851.5892784892359,0,34495
4000,0.4,CuckooFilter,1085.982678572748,740.8985246841224,0,65796
6000,0.6,CuckooFilter,1010.9008811645573,592.3995142321675,0,94916
8000,0.8,CuckooFilter,1066.8515876068227,592.189026737974,0,122004
10000,1,CuckooFilter,993.9073479573531,548.7329755594269,0,148279
10000,0.2,CuckooFilter,1025.7357089356087,536.4821257568602,0,180059
20000,0.4,CuckooFilter,839.0845587519418,393.46571487323473,0,344686
30000,0.6,CuckooFilter,916.338312103059,308.25522916585504,0,495837
40000,0.8,CuckooFilter,782.7329119694283,265.4771520414936,0,635020
50000,1,CuckooFilter,700.2222505460527,267.99319726093825,0,767453
20000,0.2,CuckooFilter,465.23529274519825,404.249061892897,0,362447
40000,0.4,CuckooFilter,842.8966988228839,309.2930180215,0,693330
60000,0.6,CuckooFilter,964.0799865302301,271.8352207417041,0,995829
80000,0.8,CuckooFilter,681.0301602574968,285.28101517044934,0.000025,1279689
100000,1,CuckooFilter,793.3013632970789,229.89446464842885,0.00001,1543376
