numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,295.86674161959263,571.3469504345406,0,171446
4000,0.4,StandardBloomFilter,363.5900885342658,432.5259515568626,0,171446
6000,0.6,StandardBloomFilter,316.7781549782636,491.0003723420342,0,171446
8000,0.8,StandardBloomFilter,378.4438389342683,562.2616976795288,0,171446
10000,1,StandardBloomFilter,527.1703603733803,582.665695557432,0,171446
10000,0.2,StandardBloomFilter,237.31830317409236,363.835480872,0,857206
20000,0.4,StandardBloomFilter,256.51319054982116,260.0457290413371,0,857206
30000,0.6,StandardBloomFilter,213.3322714128306,281.6006367925682,0,857206
40000,0.8,StandardBloomFilter,188.37517930943415,244.09779167748528,0,857206
50000,1,StandardBloomFilter,353.3618849726772,273.9363530793651,0,857206
20000,0.2,StandardBloomFilter,235.08337231965257,321.09196956795836,0,1714406
40000,0.4,StandardBloomFilter,194.736942037333,286.61558937993607,0,1714406
60000,0.6,StandardBloomFilter,236.48060110250938,267.39814916108634,0,1714406
80000,0.8,StandardBloomFilter,231.10299682817137,253.82035324859558,0,1714406
100000,1,StandardBloomFilter,218.54527088606503,235.35231888491322,0,1714406
