numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,592.6101514117695,826.7024904415129,0,34540
4000,0.4,CuckooFilter,524.7484487131883,483.2727228798659,0,66012
6000,0.6,CuckooFilter,999.050901643412,522.9327813478553,0,95013
8000,0.8,CuckooFilter,986.3392020546913,471.93324504266604,0,121969
10000,1,CuckooFilter,920.8951100476278,527.1620232469437,0,147642
10000,0.2,CuckooFilter,819.1349934453583,426.7240183753408,0,180447
20000,0.4,CuckooFilter,856.2926808334471,325.48401507256966,0,344642
30000,0.6,CuckooFilter,685.3696426876805,277.39174093835834,0,496617
40000,0.8,CuckooFilter,711.1149037238351,272.6796157667364,0,636356
50000,1,CuckooFilter,571.5971109304228,225.83523467793586,0,766909
20000,0.2,CuckooFilter,564.4630968169663,385.4979525240082,0,362846
40000,0.4,CuckooFilter,624.905287800607,306.1200281331508,0.000025,692042
60000,0.6,CuckooFilter,702.6188947946777,280.56085049360564,0.000016666666666666667,995232
80000,0.8,CuckooFilter,605.1968251348612,252.23185782907376,0,1276037
100000,1,CuckooFilter,754.2445109561904,201.05485440401054,0.00005,1541883
