numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,287.8070541509896,714.1836880449212,0,171446
4000,0.4,StandardBloomFilter,261.6037618622492,656.5287682704617,0,171446
6000,0.6,StandardBloomFilter,568.467128388122,536.9776214578247,0,171446
8000,0.8,StandardBloomFilter,440.32980702576896,699.5452955569185,0,171446
10000,1,StandardBloomFilter,541.1489674877237,656.0818790181312,0,171446
10000,0.2,StandardBloomFilter,312.4199423896185,455.70231701860484,0,857206
20000,0.4,StandardBloomFilter,380.5710849700404,300.56905235838997,0,857206
30000,0.6,StandardBloomFilter,296.0550662427981,378.9895758916169,0,857206
40000,0.8,StandardBloomFilter,314.323073827932,361.51623524277113,0,857206
50000,1,StandardBloomFilter,212.10293270485303,251.1406179006028,0,857206
20000,0.2,StandardBloomFilter,240.24485755740545,342.0601427232212,0,1714406
40000,0.4,StandardBloomFilter,200.56720405127837,265.4243039726806,0,1714406
60000,0.6,StandardBloomFilter,231.38587412363592,268.9018987582158,0,1714406
80000,0.8,StandardBloomFilter,227.97543564474284,251.6660291127315,0,1714406
100000,1,StandardBloomFilter,240.34307531998303,216.34358997139034,0,1714406
