numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,251.53119615655467,396.6915921218667,0,171446
4000,0.4,StandardBloomFilter,305.75195872374104,386.5836156202053,0,171446
6000,0.6,StandardBloomFilter,515.6189575901765,250.42415591384568,0,171446
8000,0.8,StandardBloomFilter,397.9129465956883,449.7199088194804,0,171446
10000,1,StandardBloomFilter,361.6845821097523,428.8284193173439,0,171446
10000,0.2,StandardBloomFilter,274.74112517511344,378.0989938789404,0,857206
20000,0.4,StandardBloomFilter,409.07659140996856,362.1495750171655,0,857206
30000,0.6,StandardBloomFilter,345.0338133136385,328.867855962616,0,857206
40000,0.8,StandardBloomFilter,232.66148452023972,275.50657048721746,0,857206
50000,1,StandardBloomFilter,248.8577429602497,274.653819458399,0,857206
20000,0.2,StandardBloomFilter,236.50110800793206,309.8426154416268,0,1714406
40000,0.4,StandardBloomFilter,227.74037142219836,291.8777003215904,0,1714406
60000,0.6,StandardBloomFilter,223.22292231576995,331.368227697718,0,1714406
80000,0.8,StandardBloomFilter,246.3276397752274,306.6407657443775,0,1714406
100000,1,StandardBloomFilter,200.694563745158,235.11722650634624,0,1714406
