numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,329.75548630684,759.6330972143518,0,171446
4000,0.4,StandardBloomFilter,390.39244200230286,512.8731151914858,0,171446
6000,0.6,StandardBloomFilter,455.15577706511067,363.7267442209628,0,171446
8000,0.8,StandardBloomFilter,352.9250872388333,468.1017887333044,0,171446
10000,1,StandardBloomFilter,368.09499795686713,451.47236424865343,0,171446
10000,0.2,StandardBloomFilter,317.0185043698932,457.6554312263537,0,857206
20000,0.4,StandardBloomFilter,329.787567338718,256.18691397215304,0,857206
30000,0.6,StandardBloomFilter,232.8333883077324,263.82671861184656,0,857206
40000,0.8,StandardBloomFilter,252.227802062345,274.24299506179676,0,857206
50000,1,StandardBloomFilter,260.05462187359564,208.6357247361439,0,857206
20000,0.2,StandardBloomFilter,241.40740517061698,303.18304297177303,0,1714406
40000,0.4,StandardBloomFilter,219.93223887659678,287.42477105460017,0,1714406
60000,0.6,StandardBloomFilter,220.50084562157005,221.78694480850314,0,1714406
80000,0.8,StandardBloomFilter,208.2884753724327,259.6734444156453,0,1714406
100000,1,StandardBloomFilter,231.0453299359765,237.22279477610186,0,1714406
