numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,254.05535866271876,475.86756605597895,0,171446
4000,0.4,StandardBloomFilter,376.4776748740232,676.4927234761001,0,171446
6000,0.6,StandardBloomFilter,309.31821110970753,552.7279427002436,0,171446
8000,0.8,StandardBloomFilter,573.1192732842518,645.5569542621027,0,171446
10000,1,StandardBloomFilter,408.0433505256732,436.89394617906424,0,171446
10000,0.2,StandardBloomFilter,319.7104701980961,462.31764458407497,0,857206
20000,0.4,StandardBloomFilter,263.9598464282739,389.1236060867323,0,857206
30000,0.6,StandardBloomFilter,258.9752177975953,280.5539631522806,0,857206
40000,0.8,StandardBloomFilter,274.1570014895723,292.07910670427657,0,857206
50000,1,StandardBloomFilter,260.7805370105824,253.04962758586547,0,857206
20000,0.2,StandardBloomFilter,212.83999859745558,328.58014768140873,0,1714406
40000,0.4,StandardBloomFilter,249.1881139775628,285.2903239151098,0,1714406
60000,0.6,StandardBloomFilter,248.42272272915835,243.9950281981897,0,1714406
80000,0.8,StandardBloomFilter,231.94954169685502,254.2102379037311,0,1714406
100000,1,StandardBloomFilter,302.26547976240784,262.8130218036688,0,1714406
