numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,525.9559248933075,669.6802276911549,0,34417
4000,0.4,CuckooFilter,771.5900542054957,479.3375554986699,0,65646
6000,0.6,CuckooFilter,996.19784489682,710.8920510433107,0,94874
8000,0.8,CuckooFilter,1147.7432498353526,566.6745764990338,0,122623
10000,1,CuckooFilter,845.1156540753816,486.3967002846348,0,148384
10000,0.2,CuckooFilter,975.4955517412648,470.33591390989835,0,180469
20000,0.4,CuckooFilter,959.8633154627496,405.2849152951991,0.00005,344829
30000,0.6,CuckooFilter,791.251918790457,315.7613875390649,0.000033333333333333335,496830
40000,0.8,CuckooFilter,965.6214619133781,334.72803347292563,0.000025,636592
50000,1,CuckooFilter,827.4419466589972,273.62633423414286,0.00002,768049
20000,0.2,CuckooFilter,689.2345016990365,410.14535551006713,0,362726
40000,0.4,CuckooFilter,868.7248205377626,308.4651314878134,0.000025,692418
60000,0.6,CuckooFilter,866.9630716992152,285.67014287360337,0,996845
80000,0.8,CuckooFilter,935.4416629380074,237.13090574749947,0.00005,1277759
100000,1,CuckooFilter,905.6871719801272,211.6727353248032,0.00002,1541553
