numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,628.5552657213261,847.3858147595556,0,34532
4000,0.4,CuckooFilter,1070.8644553305737,649.5984669476791,0,66059
6000,0.6,CuckooFilter,1066.5529010255575,663.5773454700808,0,95082
8000,0.8,CuckooFilter,1100.9275314439449,732.9061101464462,0,122708
10000,1,CuckooFilter,1127.332168424525,480.4804804799871,0,147599
10000,0.2,CuckooFilter,696.0492246005133,519.1205060380764,0,180303
20000,0.4,CuckooFilter,800.6789757668232,384.02605232815125,0,344319
30000,0.6,CuckooFilter,601.4627574245953,306.42934735065114,0,495230
40000,0.8,CuckooFilter,878.2175696310079,386.71853851296567,0.000025,636576
50000,1,CuckooFilter,883.7232320214375,355.6500161961645,0,768546
20000,0.2,CuckooFilter,869.3686644769724,411.6098679296386,0,362127
40000,0.4,CuckooFilter,872.836456653828,328.30628021534517,0,692247
60000,0.6,CuckooFilter,832.5816970717698,338.22691305802505,0.000016666666666666667,996316
80000,0.8,CuckooFilter,880.3775939520181,278.93127482204545,0.00005,1277861
100000,1,CuckooFilter,767.4243703133247,201.57161355583517,0.00004,1542253
