numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,660.9166914520762,845.7196016666201,0,34624
4000,0.4,CuckooFilter,950.6607091939263,672.2915055972655,0,66089
6000,0.6,CuckooFilter,1127.7347567847087,619.6618711720889,0,95294
8000,0.8,CuckooFilter,1078.7922920320482,559.973121290251,0,122659
10000,1,CuckooFilter,1177.0383361367328,338.520024305334,0,148074
10000,0.2,CuckooFilter,785.2128712074486,410.0074621354529,0,180331
20000,0.4,CuckooFilter,788.6746322855889,418.26916038625524,0,344090
30000,0.6,CuckooFilter,708.1099836449449,341.80419063295426,0,495693
40000,0.8,CuckooFilter,716.3118535281822,313.4694286980498,0,635794
50000,1,CuckooFilter,567.6032498688129,226.74631509092077,0,766857
20000,0.2,CuckooFilter,636.3630578479498,412.1200382071791,0,362135
40000,0.4,CuckooFilter,701.5254671098813,286.68461074167976,0,693805
60000,0.6,CuckooFilter,1043.855864396488,369.61710439112977,0,996950
80000,0.8,CuckooFilter,626.3000619148049,246.82677187852065,0.0000125,1278479
100000,1,CuckooFilter,574.0182135935507,193.30509081723486,0.00003,1542923
