numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,543.8920918090399,912.0966822457455,0,34300
4000,0.4,CuckooFilter,1053.7407797687945,631.4277370421835,0,65878
6000,0.6,CuckooFilter,1202.1157236734623,548.020276749513,0,94623
8000,0.8,CuckooFilter,1193.8872970394707,576.0410141208489,0,122603
10000,1,CuckooFilter,1046.703929326137,511.063241519869,0,147779
10000,0.2,CuckooFilter,939.9467990123882,542.9883909073438,0,180180
20000,0.4,CuckooFilter,881.0805571886558,390.07873739431733,0.00005,345276
30000,0.6,CuckooFilter,676.6693432678395,364.8543136723427,0,495267
40000,0.8,CuckooFilter,702.8345316671849,277.07019053782295,0.000025,634989
50000,1,CuckooFilter,512.9909836715244,236.41869182933138,0.00002,768721
20000,0.2,CuckooFilter,696.0613369190739,367.6838947995695,0,362480
40000,0.4,CuckooFilter,560.0334899940402,319.2202088746283,0,693497
60000,0.6,CuckooFilter,679.0364472910736,264.8662822545275,0.000016666666666666667,996453
80000,0.8,CuckooFilter,712.5457031167003,221.45442128793638,0.0000375,1278003
100000,1,CuckooFilter,751.7107055997426,214.60493913556778,0.00004,1544513
