numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,667.0446586396492,926.3762477155434,0,34182
4000,0.4,CuckooFilter,1036.1620557453282,598.3500497377013,0,65912
6000,0.6,CuckooFilter,1149.183122331599,592.1890267381667,0,94936
8000,0.8,CuckooFilter,1094.1517588478637,494.326063650981,0,122461
10000,1,CuckooFilter,1159.6488583273845,463.2546418118983,0,147476
10000,0.2,CuckooFilter,927.3770993499388,521.602153174929,0,180505
20000,0.4,CuckooFilter,977.4884412009046,448.6024910888975,0,345194
30000,0.6,CuckooFilter,860.6321055936104,420.7623793562871,0,494103
40000,0.8,CuckooFilter,826.5077567722903,319.53858628092576,0,634939
50000,1,CuckooFilter,539.5256490498272,259.76724854497996,0,767624
20000,0.2,CuckooFilter,459.8938105187185,408.4967320246941,0,362587
40000,0.4,CuckooFilter,657.2159020030076,321.2535312780377,0,692866
60000,0.6,CuckooFilter,565.0324046206701,307.22210032747233,0.000016666666666666667,996054
80000,0.8,CuckooFilter,797.5061981551976,245.42068019322073,0.0000125,1277862
100000,1,CuckooFilter,743.7581952727099,175.09516422048236,0.00004,1543714
